University Name_Shanghai,Links_Shanghai,University Name_Links2,Links_Links2,University Name_final,Links_final,University Name_LinksXLSX,Links_LinksXLSX
university of michigan-ann arbor,https://www.shanghairanking.com/institution/university-of-michigan-ann-arbor,university of michigan-ann arbor,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-98611775,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,monash university,https://www.monash.edu/study/interest-areas/health
the university of tokyo,https://www.shanghairanking.com/institution/the-university-of-tokyo,massachusetts institute of technology,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
new york university,https://www.shanghairanking.com/institution/new-york-university,new york university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-53177321,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
peking university,https://www.shanghairanking.com/institution/peking-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
northwestern university,https://www.shanghairanking.com/institution/northwestern-university,northwestern university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-44947751,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
university of north carolina at chapel hill,https://www.shanghairanking.com/institution/university-of-north-carolina-at-chapel-hill,university of north carolina at chapel hill,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-95855921,university of colombo,https://cmb.ac.lk/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
university of copenhagen,https://www.shanghairanking.com/institution/university-of-copenhagen,massachusetts institute of technology,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
zhejiang university,https://www.shanghairanking.com/institution/zhejiang-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
duke university,https://www.shanghairanking.com/institution/duke-university,duke university,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-10310643,national university of singapore (nus),https://www.nus.edu.sg/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
the university of melbourne,https://www.shanghairanking.com/institution/the-university-of-melbourne,university of melbourne,https://www.timeshighereducation.com/student/register-interest/aecc?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-84190491,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,university of malbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-medicine/
university of wisconsin - madison,https://www.shanghairanking.com/institution/university-of-wisconsin-madison,university of wisconsin-madison,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-96030823,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,monash university,https://www.monash.edu/study/interest-areas/health
karolinska institute,https://www.shanghairanking.com/institution/karolinska-institute,massachusetts institute of technology,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,indian institute of technology (iit) bombay,https://www.iitb.ac.in/,,Not Available
the university of edinburgh,https://www.shanghairanking.com/institution/the-university-of-edinburgh,university of edinburgh,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-61465682,singapore university of technology and design (sutd),https://www.sutd.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
kyoto university,https://www.shanghairanking.com/institution/kyoto-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
rockefeller university,https://www.shanghairanking.com/institution/rockefeller-university,"university of california, berkeley",https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,national university of singapore (nus),https://www.nus.edu.sg/,the university of new south wales (unsw sydney),https://www.avondale.edu.au/course/master-of-lifestyle-medicine/
